ZTIME,LON,LAT,WSR_ID,CELL_ID,CELL_TYPE,RANGE,AZIMUTH,AVGDV,LLDV,MXDV,MXDV_HEIGHT,DEPTH,BASE,TOP,MAX_SHEAR,MAX_SHEAR_HEIGHT
20140701010051,-101.92809,38.34826,KGLD,C5,TVS,62,190,48,86,86,6,6,6,12,22,6
20140701010051,-101.96444,38.38771,KGLD,C5,TVS,60,192,47,71,71,6,5,6,11,19,6
20140701010423,-91.37316,41.03013,KDVN,K5,TVS,50,226,33,81,81,4,23,4,27,26,4
20140701010423,-91.22979,41.06496,KDVN,U7,TVS,44,222,47,88,98,7,26,4,30,38,7
20140701010620,-101.97452,38.25318,KGLD,H5,TVS,68,191,54,80,85,10,6,7,13,20,10
20140701010713,-87.26918,41.29027,KMDW,I3,TVS,30,136,46,76,76,2,16,2,18,40,2
20140701010945,-91.39118,40.97344,KDVN,K5,TVS,53,224,41,81,94,12,25,5,30,30,12
20140701010945,-91.34656,40.98752,KDVN,K5,TVS,51,223,44,65,104,11,23,7,30,35,11
20140701010945,-91.00046,41.14126,KDVN,U7,TVS,34,214,45,34,84,12,19,4,23,41,12
20140701010945,-90.78677,41.20711,KDVN,O8,TVS,26,201,51,39,82,4,7,2,9,51,4
20140701010953,-87.60831,42.25513,KMKE,H7,TVS,39,150,43,67,67,2,7,2,9,28,2
20140701010953,-87.63900,42.48380,KMKE,C3,TVS,27,138,51,68,68,1,5,1,6,40,1
20140701011135,-101.97697,37.98260,KGLD,U5,TVS,84,189,42,77,88,17,8,13,21,17,17
20140701011513,-91.37629,40.96293,KDVN,M8,TVS,53,223,33,60,62,16,13,7,20,19,16
20140701011513,-91.25960,40.97505,KDVN,K5,TVS,49,219,51,88,88,5,10,5,15,29,5
20140701011513,-90.59797,41.24542,KDVN,A1,TVS,22,182,45,47,89,4,15,2,17,62,4
20140701011552,-87.56411,42.42157,KMKE,J0,TVS,32,138,61,74,96,8,6,2,8,48,8
20140701011552,-87.54384,42.45893,KMKE,J0,TVS,31,134,42,35,96,7,5,2,7,51,7
20140701011552,-87.51100,42.48558,KMKE,L4,TVS,31,130,55,76,76,2,5,2,7,38,2
20140701012151,-88.57139,42.50308,KMKE,??,TVS,30,231,41,65,65,2,5,2,7,34,2
20140701012151,-87.50383,42.54739,KMKE,J6,TVS,29,124,61,84,84,1,5,1,6,46,1
20140701012151,-87.51831,42.59275,KMKE,J6,TVS,27,120,65,78,103,6,5,1,6,60,6
20140701012502,-94.10301,40.04160,KMCI,A4,TVS,44,42,61,88,104,18,16,3,18,38,18
20140701012502,-94.06097,40.05710,KMCI,A4,TVS,46,43,48,52,86,10,7,3,10,30,10
20140701012603,-90.78150,41.08292,KDVN,U2,TVS,33,196,34,45,75,9,14,4,18,36,9
20140701012750,-87.53804,42.51365,KMKE,J0,TVS,29,129,32,26,76,7,5,1,7,42,7
20140701012750,-87.55973,42.54711,KMKE,J0,TVS,27,127,38,29,92,6,5,1,6,52,6
20140701013117,-91.04346,40.89172,KDVN,T3,TVS,48,206,48,106,106,4,22,4,26,35,4
20140701013117,-91.20792,40.90529,KDVN,W6,TVS,51,214,47,54,95,9,15,5,19,29,9
20140701013117,-90.78622,41.03203,KDVN,S9,TVS,36,195,47,37,91,6,9,3,12,42,6
20140701013117,-90.12759,41.37203,KDVN,O0,TVS,25,125,36,95,95,2,7,2,9,60,2
20140701013514,-86.66216,41.66118,KIWX,U8,TVS,47,293,18,27,71,32,26,6,32,25,32
20140701013514,-86.37226,41.91461,KIWX,I8,TVS,45,318,20,22,55,27,21,6,27,19,27
20140701013631,-91.08957,40.85318,KDVN,T3,TVS,51,207,66,94,135,7,15,4,19,41,7
20140701013631,-91.11367,40.88159,KDVN,T3,TVS,50,209,53,77,103,7,18,4,22,33,7
20140701013631,-90.92774,40.92656,KDVN,T3,TVS,44,201,42,75,86,6,27,4,31,31,6
20140701013631,-90.96577,40.95637,KDVN,P6,TVS,43,204,33,74,74,5,10,5,16,27,5
20140701013631,-90.65199,40.99741,KDVN,S9,TVS,37,185,65,93,117,8,7,3,10,51,8
20140701013711,-88.34983,41.60864,KMDW,??,TVS,28,265,30,24,73,8,7,1,8,43,8
20140701013931,-86.60717,41.67252,KIWX,U8,TVS,45,295,29,32,63,10,26,6,32,23,10
20140701014152,-91.05433,40.84032,KDVN,W6,TVS,51,205,32,80,80,5,28,5,33,25,5
20140701014152,-90.88287,40.86217,KDVN,T3,TVS,47,197,57,45,107,8,10,4,14,36,8
20140701014152,-90.91190,40.92212,KDVN,T3,TVS,44,200,31,31,83,6,26,4,30,30,6
20140701014152,-90.59483,41.01185,KDVN,S9,TVS,36,181,39,56,72,4,7,3,10,31,4
20140701014217,-94.61074,39.47450,KEAX,J3,ETVS,43,338,24,53,64,20,9,16,25,23,20
20140701014217,-94.34852,39.55770,KEAX,I4,TVS,45,355,35,62,62,4,18,4,22,22,4
20140701014348,-86.23715,41.95211,KIWX,I8,TVS,43,326,28,31,59,10,9,4,13,21,10
20140701014547,-87.43125,42.37731,KMKE,O1,TVS,38,134,47,75,75,2,7,2,9,32,2
20140701014607,-94.36642,39.79733,KMCI,I5,TVS,25,44,66,89,89,3,7,3,10,57,10
20140701014705,-90.88352,40.81019,KDVN,W6,TVS,50,196,52,57,95,9,5,6,12,30,9
20140701014705,-91.03650,40.83424,KDVN,W6,TVS,51,204,28,54,54,5,10,5,15,17,5
20140701014705,-90.81321,40.84818,KDVN,T3,TVS,47,193,43,56,97,8,18,4,22,33,8
20140701014705,-90.78877,40.92946,KDVN,T3,TVS,42,193,35,31,73,12,19,5,24,27,12
20140701014705,-90.53609,40.96261,KDVN,S9,TVS,39,177,45,36,100,11,18,3,22,41,11
20140701014728,-94.67797,39.41310,KEAX,J3,ETVS,41,332,29,50,60,15,12,12,23,23,15
20140701014728,-94.51564,39.44777,KEAX,J3,TVS,40,343,29,30,76,19,27,3,30,29,19
20140701014903,-88.89160,42.13852,KMKX,P4,TVS,52,197,36,75,75,7,9,7,16,23,7
20140701015146,-87.32385,42.50833,KMKE,??,TVS,37,120,45,52,74,9,7,2,9,32,9
20140701015146,-88.47589,43.55467,KMKE,??,TVS,48,337,41,53,60,12,9,3,12,20,12
20140701015232,-90.97131,40.79657,KDVN,F6,TVS,52,200,29,52,52,5,8,5,12,16,5
20140701015232,-90.74585,40.82138,KDVN,T3,TVS,48,189,49,84,84,4,13,4,18,28,4
20140701015232,-90.76966,40.87531,KDVN,T3,TVS,45,191,34,38,87,10,28,4,31,31,10
20140701015232,-90.43576,40.98794,KDVN,S9,TVS,38,170,56,26,153,11,8,3,11,61,11
20140701015232,-90.37863,40.99705,KDVN,S9,TVS,38,166,33,65,65,3,17,3,20,27,3
20140701015232,-90.13275,40.99863,KDVN,Y7,TVS,42,151,34,51,51,3,6,3,9,19,3
20140701015256,-94.57008,39.39728,KEAX,J3,ETVS,38,338,28,52,60,18,20,8,29,24,18
20140701015256,-94.48678,39.45425,KEAX,J3,ETVS,40,345,15,52,52,18,11,18,29,21,18
20140701015256,-94.19635,39.55874,KEAX,J5,ETVS,45,4,20,51,55,17,19,13,33,19,17
20140701015753,-89.94388,41.03545,KDVN,Y7,TVS,45,140,45,50,82,6,6,4,10,29,6
20140701015822,-94.28017,39.52712,KEAX,C5,ETVS,43,359,11,55,55,20,12,20,32,20,20
20140701020057,-93.93247,39.81321,KMCI,F5,TVS,42,63,65,101,101,3,15,3,18,38,3
20140701020109,-87.27833,41.74073,KMDW,P0,TVS,21,75,32,31,72,12,11,1,12,55,12
20140701020109,-87.13045,41.83056,KMDW,P0,TVS,29,68,53,72,72,1,7,1,9,40,1
20140701020109,-87.00599,41.86732,KMDW,??,TVS,35,68,53,70,73,11,9,2,11,33,11
20140701020109,-86.83982,41.91612,KMDW,??,TVS,43,68,54,78,78,3,10,3,13,29,3
20140701020109,-86.75664,41.94043,KMDW,??,TVS,47,68,50,71,72,15,12,3,15,24,15
20140701020301,-89.82341,41.07504,KDVN,S5,TVS,47,133,31,31,74,11,16,6,22,25,11
20140701020348,-94.29405,39.47678,KEAX,J5,ETVS,40,358,27,49,62,23,12,12,23,24,23
20140701020348,-94.09562,39.54907,KEAX,C5,ETVS,45,10,21,57,57,13,19,13,32,20,13
20140701020809,-90.46406,40.76622,KDVN,S3,TVS,51,174,44,53,70,9,10,5,15,22,9
20140701020809,-90.46633,40.78281,KDVN,S3,TVS,50,174,62,101,101,5,10,5,15,32,5
20140701020809,-90.43434,40.81934,KDVN,S3,TVS,48,172,56,77,114,6,9,4,14,39,6
20140701020914,-94.53248,39.30102,KEAX,F4,TVS,32,337,37,41,71,5,13,2,15,35,5
20140701020914,-94.42494,39.39724,KEAX,J3,ETVS,36,348,18,76,90,26,11,20,32,40,26
20140701021003,-94.53494,39.30617,KMCI,O6,TVS,15,140,46,59,76,3,13,1,13,78,3
20140701021255,-93.92618,39.76233,KMCI,N6,TVS,41,67,74,100,100,2,6,2,9,39,2
20140701021318,-90.61928,40.77880,KDVN,V6,TVS,50,182,31,53,53,4,14,4,19,17,4
20140701021318,-90.33126,40.85133,KDVN,T3,TVS,47,166,38,75,75,6,11,6,17,25,6
20140701021323,-89.76551,40.95322,KILX,R3,TVS,52,338,37,81,81,7,5,7,12,25,7
20140701021804,-89.69916,40.86558,KILX,C9,TVS,46,339,46,35,104,8,7,4,11,35,8
20140701021804,-89.63904,40.89913,KILX,C9,TVS,47,343,47,43,92,6,7,4,11,31,6
20140701021804,-89.45901,41.02892,KILX,C9,TVS,53,354,52,84,93,9,7,5,12,28,9
20140701021846,-90.25521,40.85036,KDVN,B5,TVS,48,162,42,90,90,6,7,6,13,30,6
20140701021846,-90.11684,40.85547,KDVN,B5,TVS,50,155,34,60,60,7,16,7,23,20,11
20140701021848,-88.38310,42.12925,KMKE,H0,TVS,44,200,21,54,94,32,26,6,32,34,32
20140701021848,-88.45603,42.13296,KMKE,H0,TVS,45,204,25,25,75,22,26,6,32,26,22
20140701022246,-89.82852,40.91337,KILX,V1,TVS,51,334,23,53,59,30,24,7,30,18,30
20140701022246,-89.51645,40.92172,KILX,C9,TVS,47,350,62,75,107,8,7,4,11,37,8
20140701022246,-89.46566,40.94441,KILX,C9,TVS,48,353,41,51,73,9,7,4,11,23,9
20140701022246,-89.39459,40.98264,KILX,B3,TVS,50,357,58,52,109,9,10,4,14,34,9
20140701022246,-89.55117,40.98465,KILX,C9,TVS,51,349,27,51,66,7,26,4,30,21,7
20140701022414,-90.07096,40.81657,KDVN,B5,TVS,53,154,40,69,69,5,7,5,12,21,5
20140701022454,-94.44385,39.25766,KMCI,P7,TVS,20,136,40,31,103,8,7,1,8,86,8
20140701022454,-93.84845,39.74557,KMCI,N6,TVS,44,70,38,28,96,9,7,3,9,36,9
20140701022507,-88.27251,41.45947,KMDW,??,TVS,27,245,44,56,63,8,7,1,8,37,8
20140701022507,-88.77160,41.59162,KMDW,??,TVS,47,266,31,57,57,3,24,3,27,20,3
20140701022533,-94.76338,39.12385,KEAX,C6,ETVS,30,309,18,49,49,14,19,14,32,26,14
20140701022533,-93.99966,39.47964,KEAX,D7,ETVS,42,17,15,51,51,15,15,15,30,19,15
20140701022727,-89.55445,40.86473,KILX,K2,TVS,44,347,44,113,113,4,7,4,11,41,4
20140701022727,-89.40755,40.91520,KILX,C9,TVS,46,356,82,119,166,6,10,4,14,56,6
20140701022727,-89.49013,40.97558,KILX,C9,TVS,50,352,42,70,70,6,12,6,19,22,6
20140701022801,-94.42014,39.22919,KMCI,P7,TVS,22,137,43,40,106,9,17,3,19,79,9
20140701023053,-94.39314,39.22622,KMCI,P7,TVS,23,135,45,49,85,5,9,1,10,58,5
20140701023100,-94.38461,39.21625,KEAX,F4,TVS,25,347,51,72,122,4,30,2,32,76,4
20140701023107,-88.73627,41.44377,KMDW,??,TVS,47,255,58,92,92,3,11,3,14,32,3
20140701023400,-94.36963,39.19746,KMCI,C8,TVS,25,136,49,65,78,5,20,1,21,49,5
20140701023626,-94.67296,39.12774,KEAX,C6,ETVS,27,315,12,50,50,19,9,19,28,29,19
20140701023626,-94.35126,39.23831,KEAX,F4,ETVS,26,351,21,52,58,19,14,15,29,35,19
